subject,content
Payments for Oct,Could one of you fine gentleman give me the details of what New Power paid ENA for October activity?
Re: CNG/IROQ Morning Sheet,Done.
Transport Sheet,Whoo hooo! I just took the demand charge for CALP to $0 for May. This affects our demand charges on CGAS.
Re: capacity for 12/6/00,Hi. I probably will not be able to attend the meeting on Thursday. Should I let someone in your office know about that?
Trco contract,I changed the end date on Transco deal 231538 from 4/30/2000 to 10/31/2000. My mistake.
Transco Contracts,I changed the effective date on the following Transco deals in Sitara. Transco told me this morning that these contract agencies were terminated effective 3/31/2000. Deals 165415 and 165423.
Tetco Stuff,Hi!
Killed deal,I killed deal 233231. The contract number was incorrect.
Re: Tribute to the United States,Hey!! You still exist!!
Trco Backhaul Rates,Type Comm Fuel Total at $8.70 FT .044 1.90% .2125 IT .1907 1.90% .3592 Diff .1467
Fax,Did you get the fax of all the deals in our system for June?
Consumers Fax,Did you get the fax of the Consumers Energy invoice??
Hey,I was trying to send the tractor photo to you yesterday but I was having problems. I will try again tonight. It takes a long time for system at home to show a photo email.
Injection Cost,IF + .0075 + transport + .17% fuel + $.0153
RE: Yo,I'll be winning the lotto soon. Nice knowin ya!
Yo,Sorry about that. Gotta go to a meeting. Give Muffy a hug for me.
Re: Questa Petroleum.,Do you have a current Citygate production worksheet?
CES Sales,Hi gang. I want to meet tomorrow regarding the CES storage deal. Around 1:30PM? Let me know. thanks
Photo's,I believe Kodak just doesn't support the USB connection very well. I tried the other connection and it works great. I pulled all the tractor pictures off the camera with no problem. I still have not seen a photo as clear as the very first one Chance pulled up of the family reunion though. All the tractor pictures are a little fuzzy.
Yo,I love my sweats. Hows muffy?
Consumers Energy,Would you please write a description on how Consumers Energy works on the billing for title transfers? I need to explain this to Doug Kenny still. Thanks.
Trco,I'm about to set up 11 contracts on Trco for May. There is no rush on setting these contracts up for Unify.
Vincent Van Gogh family tree,> > After much careful research it has been discovered that the artist Vincent > Van Gogh had many relatives. Among them were: > > His obnoxious Gogh > > His dizzy aunt Gogh > > The brother who ate Gogh > > The brother who worked at a convenience store.......Stopn Gogh > > The grandfather from Gogh > > The brother who bleached his clothes white..........Hue Gogh > > The cousin from Gogh > > His magician Gogh > > His Mexican Gogh > > The Mexican cousin's American half brother..........Grin Gogh > > The nephew who drove a stage Gogh > > The constipated uncle Gogh > > The ballroom dancing Gogh > > The bird lover Gogh > > His nephew Gogh > > The fruit loving Gogh > > An aunt who taught positive thinking................Wayto Gogh > > The little bouncy Gogh > > A sister who loved Gogh > > His Italian Gogh > > > And his niece who travels the country in a van......Winnie Bay Gogh > > See you later! > > Gotta Gogh > > > > > >
Transport contracts,CGLF contracts 66680 and 66681 ended effective 3/31/2000. thanks
Contract extension,Please change the term on deal 143913 to evergreen. thanks
CNG contract,Contract 230104 (deal 231301) does not exist. The correct contract is 560104 (deal 254262). I just killed deal 231301. thanks
Transport deals,Please change the following deals to evergreen. Deals 231754 and 231748. thanks
Adams Buyback,The GD Flat buyback from Adams at the TCO pool is deal 516555. I created the deal with 0 volumes.
BUG Capacity for May,We have our CES/Bug contract for May. The MDQ is 103 dt and the contract number is 893255.
IF,Ms. Arnold called looking for the IF today. She gets a much better response out of me than you do.
Re: Joanie,My fault. The numbers in yellow are estimates.
Re: Advantages of being a man...,I love being a MAN!!! Ain't life great?
Yo,I didn't call be cause I got home at 11:00 PM.. I though you might be asleep.
Alltrade error,Seen this one?
CNG meters,Please change the zone location for meters T0012 and T0A62 from North Other to South Other. Thanks
Lawyer,What should I tell the lawyer if she should call today?
RE: Hmm,Chewies on the way!!!!
Re: FW: SEX MATH,My worked. How many times a week did you put down?
PSNC Invoices,I faxed you the PSNC invoices for Jan and Feb. They have a little comment on their that PSNC has not been paid for either month yet. Give me a call once you get these. cg
Test,My January worksheet
Transco Parking for April 8th - 10th.,We parked gas (deal 240072) on the 8th and the 9th and we are pulling it out (deal 240073) on the 10th. ENA will pay Transco $.055 times the daily balance.
CGAS/CGLF Fuel,The Unify tables are updated for the fuel changes on CGAS and CGLF effective 4/1/2000. Attached is a spreadsheet with the calculations for zone to zone fuel percentages.
Web Addresses,Here are the web sites as promised yesterday!! FERC site for Order 637: And for the screen saver and wall paper photos: http://daily.webshots.com/
Re: TCO Capacity Due 3/15,Thanks. We have been watching Navigator and saw these too. I am talking with John Hodge also and may be back with you.
IROQ IT transport,I created deal 159513 to capture the IT gas we are flowing on IROQ for Jan and Feb. Here is how it works. Rate Comment 1. Schedule gas on our IT contract from Waddington to Wright 2. Flow gas through our parking contract at Wright 3. Schedule gas on our IT contract from Waddington to Pleasant Valley 4. Flow gas through parking at Pleasant Valley 5. Schedule gas on our IT contract from Pleasant Valley to S Commack. The total cost is about $1.00. I will follow up with the exact cost later.
ENA Upstream Pooling points,Here are the pooling points on Transco for ENA Upstream Company LLC. I submitted the Global request this morning. It should be ready for noms this afternoon. FT IT Station 30 4197 4220 45 4198 4221 50 4199 4223 62 4200 4224 65 4201 4225 85 4216 4234
Regulatory Filing Summary,Attached is the regulatory filing summary.
Capacity Release timeline,Attached is the capacity release timeline information for: CGAS CGULF Tetco Tennessee Texas Gas Transco Sonat CNG No pipe will give me a definitive answer on when they will be compliant with the Order 637. But most expect to file this summer. Scott
Regulatory Filing Summary,Please find attached the latest regulatory filing summary
Feb 2000,As everyone already knows we(Enron) does not have a shared drive for the Daily.est. So if everyone could update the sheet with their own volumes and email me back i will consolidate it to (1). Thanks Please have your est volumes by 5:00pm Jan 25 (Tuesday)
LCRA deals,I have attached a list of all deals between ERCOT and LCRA in 2000 and 2001. Please look it over and give me a call so we can discuss what the next step needs to be. Thanks! Andrea Dahlke x54080
QSE Meeting Info from 11-15,FYI
LCRA dispute,Dispute talking points for our discussion.
The slides,I clicked too soon.
The Rest of the Questions Filed in Protocols,Tomorrow Doug and I can go through these and indicate whether we will be offering comments on any of the questions. I have done this on hard copy only. Robin
charge matrix for ercot,Here is the matrix for you to expiriment with. Be careful not to change the formula cells. I would not save changes that way you make sure not to kill referenced cells and such. Smith
CSC Analysis  Data,Several folks have inquired about getting the base data used for our CSC Analysis. Some of the data is now available from the Internet at the following address: We will continue posting information at this site through out the process. Thanks Ken D.
Industrial Consortium,Here is what I sent to the Green Power Market Development Group....
ercot iso,tjae please find a room for us if you can
fpl-keith emery,lunch and meet afterwards. may need to be in austin though
plan,are you ready to meet to define the plan??
Auction Products,Meeting is to make sure we are all on the same page and to discuss product valuation.
ERCOT MARKET PRODUCTS,Please attend discussion about legal properties of ERCOT products in the future market format.
Subscribe,Subscribe
Passwords,Username: esaibi Password: Dec100Put Stack Manager: esaibi Password: Power1 EOL Web: ADM69798 Password: May100Call
Jeff King,I have received the correct version of Jeff's contract. See me when you have a minute so that I can swap out pages. Thanks! Amy
Max,Stepped down from the Texas PUC? And the dominoes continue to fall.
Wine Websites,MSN Photos is the easiest way to share and print your photos:
2002 Load and Generation,Doug attached is a n Excel spreadsheet that shows load and generation by 2002 CM zone. Lance
EPMI Termination Log,Attached is the most recent termination log for EPMI counterparties. I believe the only change from the last list is the addition of the City of Mesa. Stephanie Panus Enron Wholesale Services ph: 713.345.3249 fax: 713.646.3490
Termination Log,Attached is the most recent termination log for EPMI counterparties. Stephanie Panus Enron Wholesale Services ph: 713.345.3249 fax: 713.646.3490
UBS Mtg on ERCOT,The meeting will be at 1pm in 38c2 with Bryan Murtaugh. Thanks.
you're a spook at heart - you'll dig this link,===== Chris Clark 281.364.9065 home 713.385.7314 mobile Do You Yahoo!? Great stuff seeking new owners in Yahoo! Auctions! http://auctions.yahoo.com
AA's available from EBS,Here is the list I received on analysts available for rotation out of EBS. Let me know if you are interested or need further info.
My new mobile,is 07876 395 634 J
03/01 Orig,Here it is. Let me know if you have any questions. DG
Schedule C,We added $75M so Schedule C tonight. DG
Re: Originations Detail Request,I appologize for the delay. I was on vacation when you sent the first request and somehow didn't see it when I was going through a week's worth of emails . I have a person in my group getting the information together. We'll let you know when it is complete. DG
Fee,I got a bill in the mail for an annual IRA fee. Can I just transfer from my CMA? DG
Re: Prelim Enovate DPR for 3-8-2001,OK
Re: Penalty Charges,I do DG
Updated Book Admin,Please add Elizabeth Shim to the Book Admin list on the Web sight. Her Tagg user name is: ESHIM. Thanks. DG
Schedule C,We are removing the $100M from Schedule C that was put there on Friday. DG
Jazz Fest,I just wanted to say thanks for letting us stay last weekend. We had a good time. We are already looking forward to doing it again next year. DG
Re: Luncheon in Honor of Will Kelly,I will attend DG
Re: New email - Please respond,How was Cabo? I'm sure it was great. DG
A. Frank,Any word on her review? Let me know. Thanks. DG
